x,depth,price,x,y,z,class
1.7,57.8,1581,5.81,5.95,1.4,0
1.79,61.6,1581,5.91,5.87,1.69,0
1.98,68.6,1581,6.08,6.04,4.09,1
1.9,60,1584,6.04,6.08,1.76,0
1,60.1,1584,6.55,6.48,1.91,0
1.76,60.1,1584,5.87,5.9,1.6,0
1.9,61.6,1584,6.05,6.09,1.86,0
1.8,61.1,1584,5.98,5.95,1.7,0
1,61.9,1584,6.4,6.14,4.07,1
1,60.1,1584,6.45,6.4,1.94,1
1,64.8,1584,6.11,6.04,4,1
1,60,1584,6.51,6.5,1.9,1
1,60.9,1584,6.4,6.17,1.89,0
1,60.8,1584,6.41,6.18,1.96,0
1,60.1,1584,6.47,6.41,1.88,1
1.7,61.1,1585,5.68,5.74,1.55,0
1.7,61.4,1585,5.66,5.7,1.55,0
1.97,60.4,1585,6.4,6.17,1.86,1
1.91,61.1,1586,6.11,6.07,1.91,0
1.9,60.6,1587,6.14,6.17,1.85,1
1.7,60.9,1587,5.68,5.61,1.5,1
1.14,59,1588,6.65,6.6,1.9,0
1.9,60.9,1588,6.17,6.1,1.81,1
1.81,60.8,1588,5.97,6,1.7,0
1,60.9,1589,6.61,6.66,4,1
1.71,60.1,1589,5.81,5.85,1.57,0
1.95,58.7,1590,6.17,6.41,1.76,0
1.78,61,1590,5.9,5.86,1.65,0
1.74,60.9,1590,5.78,5.81,1.59,1
1.18,61,1590,6.5,6.46,4.09,1
1.7,61.1,1590,5.61,5.69,1.51,0
1.84,61.4,1590,5.98,6.04,1.75,0
1,60.9,1591,6.14,6.18,1.94,1
1,61.4,1591,6.19,6.11,4.01,1
1.9,61.6,1591,6,6.06,1.84,0
1.81,60.1,1591,6.01,6.06,1.7,1
1.99,70.6,1591,5.94,5.8,4.1,1
1.15,59.4,1591,6.66,6.58,1.91,1
1.74,61,1591,5.8,5.78,1.6,1
1.91,60.8,1594,6.15,6.18,1.84,0
1.9,60.9,1595,6.07,6.1,1.81,1
1.9,61.1,1595,6.06,6.09,1.85,1
1.17,60.8,1595,6.61,6.6,4.01,0
1.71,60.6,1595,5.8,5.81,1.58,0
1.78,60.7,1595,5.87,5.91,1.64,1
1.9,61.7,1595,6.05,6,1.87,0
1.9,60.6,1595,6.01,6.06,1.78,0
1.9,64,1595,6.04,6.09,1.89,0
1.9,65.8,1595,5.94,5.97,1.91,0
1.84,60.8,1596,6.04,6.07,1.74,0
1.9,60.6,1597,6.01,6.09,1.8,0
1,60,1597,6.44,6.4,1.86,1
1.8,61.6,1597,5.9,5.94,1.7,1
1,61.8,1597,6.16,6.1,4.04,1
1,68.7,1597,6.04,6,4.09,1
1,67.1,1597,6.09,6.01,4.08,1
1,66.7,1597,6.04,6.05,4.06,1
1,60.1,1597,6.41,6.11,1.9,1
1,61.1,1597,6.4,6.17,1.97,1
1,60.5,1599,6.49,6.51,1.94,1
1.11,61.6,1599,6.41,6.19,4,1
1.9,61.6,1599,6.08,6.09,1.84,0
1.9,61.1,1599,6.09,6.05,1.84,0
1.15,60.7,1599,6.56,6.51,1.97,0
1.11,60,1599,6.51,6.5,1.98,1
1.9,61,1599,6.11,6.05,1.84,0
1.11,61.4,1599,6.41,6.16,4.05,1
1.5,60,1599,7.17,7.16,4.47,1
1.9,64,1600,6,6.04,1.91,1
1.8,61,1600,5.97,5.99,1.7,0
1.78,60,1600,6,6.01,1.6,0
1.11,60,1600,6.44,6.5,1.95,1
1.9,60.6,1600,6.11,6.19,1.85,1
1.71,60,1600,5.78,5.8,1.54,0
1.78,60.7,1600,5.91,6,1.68,0
1.71,60.8,1600,5.78,5.81,1.51,0
1.71,60.4,1600,5.78,5.8,1.55,0
1.71,60.5,1600,5.77,5.8,1.56,0
1.71,61.7,1600,5.76,5.69,1.59,1
1.19,60.1,1600,6.66,6.59,4.06,0
1.7,60,1601,5.7,5.76,1.5,1
1.81,58.8,1601,6.1,6.05,1.61,0
1.11,60,1601,6.7,6.77,4.01,1
1.14,59.6,1601,6.6,6.61,1.94,1
1.14,61,1601,6.47,6.49,4.01,1
1.8,61.8,1601,5.84,5.89,1.74,1
1.81,61.1,1601,5.99,5.91,1.77,1
1,61.9,1604,6.6,6.51,4.01,1
1.7,60.9,1604,5.76,5.8,1.51,1
1,58,1604,6.58,6.51,1.8,1
1.9,57.9,1604,6.11,6.14,1.64,1
1,59.7,1604,6.8,6.64,4,1
1.9,61.9,1604,6.01,6.08,1.9,1
1.9,61.1,1605,6,6.01,1.8,1
1,59,1605,6.54,6.59,1.88,1
1.9,61.4,1605,6.07,6,1.86,1
1.79,60.8,1605,5.9,5.94,1.66,0
1.79,60.1,1605,5.94,5.98,1.65,1
1.16,61.8,1605,6.8,6.64,4.11,1
1,60.4,1605,6.7,6.64,4.01,1
1.71,61.9,1606,5.7,5.78,1.6,0
1.15,61,1606,6.76,6.69,4.07,1
1.71,61,1607,5.68,5.71,1.59,0
1.11,61.1,1607,6.69,6.6,4.04,1
1.11,61.8,1607,6.16,6.1,4.04,1
1.11,61.1,1607,6.68,6.61,4.04,1
1.9,60.7,1609,6.11,6.19,1.86,1
1.16,61,1609,6.57,6.54,4.07,1
1.9,61.4,1609,6.09,6.04,1.85,0
1.1,60,570,4.15,4.16,1.66,1
1.1,61,570,4.1,4.11,1.68,1
1.1,61.1,570,4.11,4.17,1.7,1
1.1,61.9,570,4.17,4.11,1.7,1
1.1,61,570,4.14,4.17,1.7,1
1.1,60.1,570,4.15,4.4,1.68,1
1.1,61.5,570,4.19,4.1,1.71,1
1.1,60,570,4.4,4.41,1.65,1
1.1,60,570,4.18,4.4,1.68,1
1.1,61.6,570,4.1,4.11,1.7,1
1.1,61.9,570,4.1,4.14,1.71,1
1.1,61.8,570,4.11,4.16,1.71,1
1.1,61.6,570,4.11,4.16,1.71,1
1.1,60.4,570,4.14,4.19,1.68,1
1.1,61.5,570,4.17,4.1,1.71,1
1.1,61,570,4.11,4.15,1.71,1
1.1,61.7,570,4.1,4.15,1.76,1
1.1,60.8,570,4.14,4.17,1.69,1
1.1,61,570,4.11,4.17,1.7,1
1.1,60.1,570,4.17,4.4,1.64,1
1.1,60,570,4.16,4.18,1.67,1
1.1,60.1,570,4.17,4.49,1.7,1
1.1,60.8,570,4.11,4.17,1.64,1
1.1,60,570,4.11,4.19,1.66,1
1.1,61.4,570,4.1,4.15,1.7,1
1.1,61,570,4.15,4.1,1.7,1
1.1,61.9,570,4.17,4.1,1.74,1
1.1,61.6,570,4.1,4.11,1.7,1
1.1,61,570,4.15,4.18,1.7,1
1.1,60.5,570,4.11,4.15,1.67,1
1.9,61.6,1600,6.04,6.09,1.89,0
1.71,59.9,1600,5.81,5.86,1.5,1
1,58.8,1600,6.51,6.57,1.85,1
1.91,61,1600,6.14,6.19,1.89,1
1.75,60.8,1600,5.87,5.9,1.58,1
1.96,56.7,1600,6.5,6.19,1.66,1
1.7,60.9,1600,5.7,5.78,1.5,1
1,61.9,1600,6.17,6.1,4.05,0
1.14,61.4,1600,6.49,6.4,4.01,1
1.7,61,1601,5.7,5.74,1.55,1
1.7,60.7,1601,5.7,5.74,1.51,0
1,59.9,1601,6.48,6.4,1.86,0
1.91,61.5,1601,6.1,6.14,1.89,1
1.78,60.7,1601,5.89,5.94,1.65,0
1.9,64.6,1601,6,6.07,1.9,1
1.15,61.8,1601,6.7,6.65,4.09,0
1.71,60.7,1604,5.78,5.8,1.51,0
1,58.7,1604,6.47,6.5,1.8,1
1.19,60,1604,6.66,6.61,4.05,0
1.9,61.9,1605,6.04,6.11,1.89,0
1.9,61.8,1605,6,6.06,1.9,0
1.9,61.4,1605,6,6.06,1.89,0
1.15,66,1605,6.1,6.11,4.01,1
1.71,60.1,1605,5.8,5.81,1.57,1
1.9,64.5,1605,6.04,6.09,1.9,0
1.9,65,1605,5.96,6,1.89,0
1.19,61.5,1605,6.64,6.58,4.01,1
1.15,60.6,1606,6.55,6.5,4.01,1
1.74,60.9,1606,5.74,5.77,1.56,0
1.71,59.5,1606,5.8,5.81,1.46,1
1,59.5,1606,6.46,6.51,1.86,1
1.9,61,1607,6.09,6,1.8,1
1.11,65,1607,6.41,6.16,4.06,1
1.9,61.6,1608,6.08,6.01,1.85,1
1.91,61,1608,6.1,6.17,1.87,1
1.91,59.4,1608,6.14,6.16,1.77,0
1.9,61.5,1608,6,6.06,1.86,1
1.7,61.8,1608,5.64,5.68,1.55,1
1.7,61,1608,5.61,5.65,1.56,1
1.7,60,1608,5.91,5.84,1.51,1
1.9,60.4,1608,6.11,6.1,1.81,1
1.9,60.9,1609,6.08,6.11,1.84,1
1.9,60.4,1609,6.01,6.09,1.78,1
1.71,59.4,1609,5.85,5.9,1.49,1
1.88,61.1,1609,6,6.07,1.81,1
1,61.1,1610,6.41,6.14,4.04,1
1,61.6,1610,6.1,6.1,1.98,1
1,61.8,1610,6.11,6.11,4,0
1.71,60,1610,5.86,5.9,1.51,1
1.9,59.5,1610,6.1,6.14,1.71,1
1,60,1610,6.55,6.51,1.91,1
1.91,59.5,1610,6.19,6.16,1.79,1
1.71,60.1,1610,5.85,5.8,1.57,0
1.81,58.7,1610,6,6.1,1.6,1
1.9,60.1,1610,6.01,6.05,1.76,1
1.7,61.1,1611,5.66,5.7,1.54,1
1.7,60,1611,5.7,5.75,1.5,1
1.7,61,1611,5.6,5.66,1.55,1
1.71,60.4,1611,5.8,5.81,1.57,1
1.71,61.1,1611,5.74,5.79,1.59,1
1.8,61.1,1611,5.95,5.97,1.7,0
1.81,60.8,1611,5.99,6.05,1.71,0
1.98,60.8,1611,6.18,6.17,1.9,1
1.7,61.4,1611,5.64,5.59,1.56,0
1,60.1,1611,6.61,6.68,4.08,1
1.91,61.4,1614,6.09,6.11,1.87,1
1.94,61.7,1614,6.1,6.14,1.9,1
1.9,61,1614,6.09,6.05,1.86,1
1.8,60.9,1614,6,5.95,1.7,1
1.8,60.8,1614,5.96,5.91,1.67,1
1.75,60.7,1615,5.81,5.85,1.6,1
1.91,59.9,1615,6.16,6.19,1.76,1
1.6,61.1,1615,5.4,5.45,1.18,1
1.9,60.7,1615,6.09,6.07,1.75,0
1.81,60.1,1615,6.08,6.01,1.7,0
1.81,60.8,1615,6.04,6.01,1.71,0
1.9,60.8,1615,6.1,6.08,1.8,0
1.7,61.7,1616,5.67,5.71,1.57,1
1,61.6,1616,6.1,6.17,4.01,0
1,61.7,1616,6.1,6.15,4.01,0
1.9,64.5,1617,6,5.96,1.86,1
1.79,61,1618,5.9,5.86,1.65,0
1,58.8,1619,6.51,6.46,1.81,1
1,58.8,1619,6.51,6.46,1.81,1
1.9,60.5,1619,6.09,6.11,1.81,1
1.71,61.5,1619,5.7,5.74,1.58,1
1.9,64.5,1619,6.07,6.01,1.9,0
1.9,61.8,1619,6.06,6.04,1.86,1
1.9,60,1619,6.11,6.17,1.78,1
1.9,60.9,1619,6.1,6.05,1.81,1
1.9,60,1619,6.11,6.06,1.71,1
1.18,61,1619,6.65,6.55,4.06,1
1.9,58.4,1619,6.17,6.14,1.7,1
1.9,60.1,1610,6.18,6.1,1.77,1
1.8,60.7,1610,5.99,6.04,1.7,0
1,67.7,1610,6,6.05,4,0
1.9,61.5,1611,6.06,6.11,1.87,0
1.9,59.8,1611,6.1,6.15,1.71,1
1.9,64.1,1611,6,6.04,1.87,0
1.74,60.9,1611,5.79,5.8,1.59,0
1.11,59.6,1611,6.58,6.55,1.9,1
1.16,65.1,1611,6.11,6.15,4,0
1.11,66.6,1611,6.1,6.04,4,1
1.11,64.1,1611,6.1,6.1,4.01,1
1.94,61,1614,6.18,6.14,1.9,1
1,61,1614,6.18,6.1,1.91,1
1,65.1,1614,6.17,6.1,4.07,1
1,64,1614,6.19,6.14,4,1
1,41,1614,6.11,6.17,1.97,0
1,60,1614,6.44,6.4,1.86,0
1,60,1614,6.44,6.4,1.86,0
1.11,61.8,1614,6.48,6.4,4.05,1
1,61.9,1614,6.11,6.17,4.01,1
1.11,60,1614,6.58,6.51,1.99,1
1.11,60.8,1614,6.56,6.47,1.96,1
1.9,61.4,1615,6.08,6.11,1.87,1
1.74,60.1,1615,5.81,5.86,1.58,0
1.74,60.9,1615,5.84,5.9,1.58,0
1.11,61.9,1618,6.55,6.51,4,1
1.9,60.1,1618,6.18,6.15,1.78,0
1.11,61.1,1619,6.4,6.48,4,1
1.9,60,1619,6.14,6.1,1.8,0
1.9,61.8,1619,6.09,6.07,1.81,0
1.14,61.9,1619,6.64,6.6,4.11,1
1,59.8,1640,6.51,6.48,1.89,1
1.76,61.9,1640,5.76,5.85,1.65,1
1.11,61,1640,6.4,6.41,4.05,1
1,65,1640,6.17,6.05,4.05,1
1,59,1640,6.5,6.47,1.81,1
1,64,1640,6.16,6.17,4.05,1
1,59.6,1640,6.51,6.4,1.85,1
1,57.6,1640,6.56,6.51,1.77,1
1,61.8,1640,6.18,6.14,4,1
1,61.1,1640,6.19,6.14,4.01,1
1,59.7,1640,6.51,6.46,1.87,1
1,61,1640,6.17,6.11,4,0
1,61.8,1640,6.11,6.18,4.01,1
1.81,61.6,1640,5.9,5.97,1.71,0
1.85,61.4,1640,6.01,6,1.79,1
1.7,61,1641,5.67,5.71,1.51,0
1.9,61.7,1641,6.06,6.1,1.88,1
1.9,61.4,1641,6.01,6.08,1.84,1
1.9,58.8,1641,6.14,6.18,1.68,1
1.77,61.4,1641,5.81,5.87,1.65,1
1.8,60.9,1641,5.87,5.95,1.66,0
1.9,61,1641,6.01,6.08,1.88,1
1.16,60.8,1644,6.74,6.78,4.08,1
1.9,61.1,1644,6.06,6,1.85,1
1.9,60.5,1644,6.07,6.11,1.8,1
1.9,61.1,1644,6.01,6.08,1.81,1
1.91,60.8,1644,6.19,6.14,1.84,0
1.7,60.7,1644,5.66,5.7,1.5,1
1.9,60,1644,6.1,6.17,1.84,0
1.9,61.7,1644,6.11,6.08,1.89,1
1.77,61,1644,5.85,5.8,1.61,1
1.16,61.7,1644,6.59,6.56,4.09,0
1,60.4,1646,6.11,6.15,1.89,0
1.91,61.8,1646,6.14,6.1,1.9,1
1.77,60.1,1647,5.9,5.91,1.61,1
1.8,61.1,1648,5.95,5.98,1.7,0
1.76,60.9,1648,5.87,5.9,1.64,1
1.76,60.9,1648,5.81,5.86,1.61,1
1.76,60.1,1648,5.88,5.94,1.61,0
1.91,58.4,1648,6.4,6.14,1.71,0
1.76,60.5,1649,5.94,5.99,1.6,0
1.91,61.1,1649,6.07,6.11,1.91,0
1.9,61.6,1649,6.09,6.01,1.88,0
1.9,61.5,1649,6.07,6,1.87,0
1.71,60.7,1649,5.77,5.8,1.57,0
1.91,61.9,1650,6.1,6.05,1.89,0
1.91,61,1650,6.11,6.16,1.91,1
1.11,58.9,1650,6.57,6.51,1.86,1
1,57.8,1650,6.55,6.5,1.77,0
1.81,60.5,1651,6,6.05,1.7,0
1.95,58.8,1651,6.45,6.18,1.77,1
1.8,61.1,1651,5.9,5.94,1.69,1
1.9,60.6,1651,6.04,6.14,1.8,1
1.8,61,1651,5.91,6,1.7,1
1.76,61,1655,5.8,5.85,1.61,0
1,61.8,1655,6.1,6.15,1.97,1
1.77,60.9,1655,5.9,5.95,1.6,1
1,60.9,1655,6.66,6.61,4,1
1.17,61.5,1655,6.51,6.46,4.01,0
1.11,61.5,1656,6.41,6.14,1.99,0
1.9,61.1,1656,6.07,6,1.85,1
1.7,60.9,1656,5.68,5.71,1.51,1
1.7,60.8,1656,5.74,5.77,1.5,1
1.9,61.6,1656,6.05,6.08,1.86,1
1.11,64,1656,6.4,6.17,4.09,1
1.11,61.9,1656,6.4,6.17,4.01,1
1,60.9,1658,6.18,6.14,1.94,1
1.96,68.8,1658,6,5.98,4.06,1
1.9,61.4,1659,6.07,6.1,1.86,1
1.9,61.8,1659,6.08,5.99,1.81,1
1.71,60.9,1660,5.8,5.85,1.55,0
1.9,59.9,1660,6.06,6.1,1.7,0
1.9,61.1,1660,6,6.09,1.81,1
1.19,61.7,1661,6.57,6.5,4,1
1.9,61.1,1661,6.05,6.09,1.84,0
1.9,61.4,1661,6.01,6.07,1.84,0
1.9,60.1,1661,6.07,6.11,1.8,0
1.9,60.8,1661,6.1,6.15,1.79,0
1.9,61.6,1661,6.09,6.08,1.84,0
1.9,61,1661,6.05,6.11,1.84,0
1.7,60.1,1661,5.71,5.76,1.51,1
1.11,60.6,1661,6.8,6.87,4.1,1
1.89,64.1,1661,6.01,6,1.9,1
1.9,60,1661,6.17,6.15,1.79,1
1.9,60,1664,6.1,6.16,1.8,1
1.87,60.1,1664,6.01,6.07,1.7,1
1.9,61.1,1664,6.08,6.11,1.86,0
1,59.6,1665,6.56,6.5,1.89,1
1.9,60.7,1665,6.16,6.11,1.79,0
1,59.6,1665,6.5,6.55,1.89,1
1.19,60.5,1665,6.79,6.81,4.09,1
1.17,60.1,1665,7,7.05,4.11,1
1.9,61.1,1665,6.19,6.08,1.86,0
1,61.6,1665,6.44,6.16,4.07,1
1.9,61,1666,6.06,6.14,1.85,1
1.9,61.5,1666,5.96,6,1.8,1
1.71,60.1,1667,5.79,5.81,1.56,0
1.7,60.6,1668,5.7,5.75,1.47,1
1.78,61.1,1668,5.85,5.9,1.66,1
1.11,61.1,1668,6.47,6.45,4.01,1
1.74,60.4,1668,5.8,5.81,1.57,1
1.11,61,1668,6.41,6.18,4.04,1
1.71,61.8,1669,5.69,5.71,1.64,1
1.95,61.6,1669,6.11,6.16,1.9,1
1.85,60.1,1669,6.09,6.11,1.7,1
1.71,60.9,1669,5.76,5.8,1.58,0
1.9,57.7,1669,6.15,6.19,1.61,0
1.9,65.1,1669,6,6.06,1.91,0
1.14,61,1669,6.49,6.47,4.01,1
1.9,61.8,1669,6.06,6.01,1.86,1
1.9,61.7,1669,6,6.07,1.88,0
1.9,60.9,1669,6.14,6.09,1.85,1
1.9,61,1669,6.05,6,1.87,0
1.9,61.7,1669,6.07,6.01,1.85,1
1.9,61.7,1669,6.01,6.09,1.89,0
1.9,64,1669,6.05,6,1.86,1
1.9,61.8,1669,6.08,6.05,1.87,0
1.9,61.1,1669,6,6.05,1.84,0
1.9,61,1669,6.01,6.07,1.78,0
1.11,60.1,1669,6.71,6.68,4,1
1,66.7,1669,6.07,5.99,4.01,1
1.14,61,1669,6.51,6.41,4.01,1
1.9,61.5,1669,6.15,6.1,1.89,1
1.9,60.9,1669,6.08,6.01,1.8,0
1.11,64.6,1669,6.5,6.47,4.09,1
1.17,61.8,1669,6.7,6.69,4.1,1
1.11,60,1669,6.77,6.7,4.01,1
1.9,61.1,1669,6.11,6.06,1.85,1
1.14,59.7,1669,6.6,6.54,1.91,1
1.9,61.6,1669,6.08,6.06,1.8,0
1.7,61.7,1670,5.64,5.69,1.55,1
1.85,61.1,1670,6.04,6.09,1.77,0
1.11,60.6,1670,6.79,6.77,4,1
1,61,1670,6.11,6.17,1.97,1
1,66,1670,6.16,6.1,4.01,0
1,61.8,1670,6.01,6.06,1.89,1
1.76,61,1670,5.81,5.87,1.61,0
1.78,60.4,1670,5.95,6,1.6,0
1,59,1670,6.59,6.54,1.88,1
1.95,60.5,1670,6.44,6.16,1.88,0
1.78,59.8,1671,5.97,6.01,1.59,1
1,60.6,1671,6.16,6.45,1.88,1
1.16,60.1,1671,6.51,6.59,4.01,1
1.15,60,1671,6.54,6.6,4.01,1
1.7,60.1,1671,5.78,5.84,1.5,0
1.8,61.7,1671,5.9,5.94,1.7,0
1.71,61.1,1671,5.77,5.8,1.6,1
1.81,60.8,1674,6.01,5.98,1.7,0
1.7,60.4,1674,5.7,5.74,1.5,1
1.7,60.6,1674,5.78,5.8,1.5,1
1.96,57.7,1674,6.49,6.46,1.71,0
1,61.1,1674,6.15,6.19,1.94,0
1,60,1674,6.5,6.47,1.97,1
1.8,60.5,1674,5.99,5.94,1.97,0
1,61.1,1674,6.4,6.1,4.01,0
1.91,61.1,1675,6.09,6.11,1.86,1
1.11,61.1,1675,6.5,6.4,4.01,1
1.79,61,1675,5.91,5.96,1.68,1
1.61,60.5,1675,5.58,5.51,1.16,0
1,61.4,1676,6.11,6.14,1.98,0
1,60.1,1676,6.5,6.45,1.9,1
1,67,1676,6.06,6.09,4,1
1,60.6,1676,6.11,6.08,1.81,1
1,61.1,1676,6.4,6.11,4.01,1
1,64,1676,6.14,6.1,1.99,1
1.9,61.1,1677,6.07,6.04,1.81,1
1.9,60.6,1677,6.11,6.06,1.8,1
1.11,61.1,1678,6.65,6.69,4.05,1
1,60.8,1678,6.6,6.65,4,1
1,59.8,1678,6.65,6.7,1.99,1
1.9,61.6,1679,6,6.01,1.89,1
1.75,60,1679,5.87,5.89,1.6,1
1.91,61.1,1679,6.19,6.15,1.96,0
1,61.9,1679,6.16,6.09,1.98,1
1.9,61.1,1679,6.09,6.07,1.85,1
1.9,61,1679,6.01,6.01,1.77,1
1.1,61.1,570,4.1,4.11,1.68,1
1.1,60.9,570,4.18,4.19,1.67,1
1.1,61.5,570,4.17,4.1,1.71,1
1.1,61.4,570,4.11,4.15,1.7,1
1.18,64,571,4,4.07,1.65,0
1.18,60,571,4.15,4.17,1.56,0
1.18,58.9,571,4.17,4.11,1.51,1
1.18,61.1,571,4.61,4.65,1.89,1
1.14,61.7,571,1.99,4.01,1.5,1
1.14,60.8,571,1.99,4.01,1.48,1
1.17,60.9,571,4.65,4.68,1.84,1
1.1,60.6,571,4.18,4.11,1.65,1
1.11,61.8,571,4.41,4.19,1.77,1
1.11,61.7,571,4.44,4.4,1.77,1
1.11,60.5,571,4.49,4.46,1.75,1
1.11,60.4,571,4.5,4.46,1.75,1
1.11,60.1,571,4.5,4.46,1.75,1
1.11,61.1,571,4.18,4.16,1.76,1
1.11,61.6,571,4.41,4.19,1.8,1
1.41,59.5,571,4.85,4.9,1.9,0
1.14,60.6,571,4.48,4.5,1.77,0
1.1,60.6,571,4.1,4.11,1.66,1
1.1,60.9,571,4.11,4.14,1.68,1
1.1,61.1,571,4.1,4.11,1.68,1
1.1,61.5,571,4.19,4.11,1.69,1
1.1,61.1,571,4.1,4.14,1.69,1
1.1,60,571,4.16,4.18,1.67,1
1.1,60.9,571,4.15,4.19,1.66,1
1.1,60.9,571,4.19,4.11,1.67,1
1.1,60.7,571,4.18,4.1,1.65,1
1.91,60.8,1679,6.09,6,1.8,0
1.76,61.1,1680,5.81,5.87,1.64,1
1.9,61,1680,6.01,6.09,1.88,0
1,61,1681,6.4,6.46,1.99,0
1.9,60.4,1681,6.1,6.11,1.81,1
1.8,60.9,1681,5.98,5.96,1.7,1
1.7,61.5,1681,5.61,5.67,1.51,1
1.91,61.6,1684,6.11,6.09,1.89,1
1.91,58.9,1685,6.41,6.48,1.8,1
1.84,61.4,1685,6.01,6.08,1.78,1
1,61,1685,6.41,6.15,1.96,1
1,60.7,1685,6.5,6.4,1.91,1
1.11,61.5,1686,6.4,6.47,4.01,1
1.1,60.1,1686,6.94,6.89,4.14,1
1.9,60.1,1688,6.1,6.11,1.8,1
1.11,61.4,1688,6.69,6.61,4.05,1
1.96,65.1,1688,6.04,6.01,1.99,1
1.9,59.5,1689,6.19,6.1,1.71,1
1.9,60.7,1689,6.07,6.09,1.75,0
1.8,61.7,1689,5.91,5.98,1.71,1
1.9,61.6,1689,6.07,6.01,1.85,1
1.9,64.8,1689,6,6.01,1.91,1
1.9,64.5,1689,6.05,6,1.89,1
1.9,64,1689,6.07,6.04,1.88,1
1.9,61.9,1689,6,6.04,1.88,1
1.71,61.8,1689,5.75,5.68,1.59,1
1.91,61.1,1689,6.17,6.14,1.89,0
1.7,64.1,1690,5.65,5.6,1.6,1
1.71,61,1690,5.74,5.76,1.57,0
1,60.7,1690,6.17,6.4,1.94,1
1.96,59.4,1690,6.47,6.41,1.81,1
1,60.1,1690,6.68,6.61,4.08,1
1.94,60.9,1690,6.11,6.1,1.8,1
1.7,60.8,1691,5.61,5.71,1.5,1
1.77,61.6,1691,5.85,5.88,1.67,1
1.11,60.4,1691,6.56,6.51,1.95,0
1,60.1,1691,6.69,6.61,4.09,1
1.11,61.1,1691,6.15,6.11,4,1
1.11,60.5,1691,6.58,6.51,1.96,1
1.11,67.4,1691,6.76,6.56,4.49,0
1.97,60.6,1694,6.17,6.11,1.9,1
1.74,61,1694,5.85,5.8,1.61,1
1.1,59,1694,6.91,6.88,4.07,1
1,61.1,1696,6.14,6.17,1.91,1
1,57.6,1696,6.81,6.71,1.9,1
1,57.7,1696,6.55,6.59,1.79,0
1.1,58.6,1696,6.96,7,4.09,1
1.9,64,1696,5.97,5.99,1.81,1
1,66.5,1696,6.1,6.09,4.01,0
1,59,1696,6.54,6.5,1.85,0
1,57.6,1696,6.47,6.44,1.71,0
1,61,1696,6.5,6.47,0,0
1,61.4,1696,6.55,6.5,4.08,1
1,60.1,1696,6.66,6.6,4.06,1
1.5,61.7,1696,7.11,7,4.57,1
1.1,65.6,1696,6.71,6.57,4.16,1
1.75,61.4,1696,5.86,5.84,1.65,1
1.77,61,1697,5.87,5.9,1.65,0
1.9,61.5,1697,6.08,6.04,1.88,0
1.91,61,1697,6.06,6.01,1.87,0
1.9,64.7,1697,5.98,6,1.88,1
1.81,59.7,1697,6.08,6.04,1.61,0
1.1,59.7,1697,7.06,7,4.1,1
1,61.6,1699,6.44,6.16,4.07,1
1.9,61.8,1699,6.09,6.01,1.9,1
1.9,61.4,1699,6.06,6,1.86,1
1.9,58,1699,6.14,6.18,1.61,1
1,66,1700,6,6.01,4,0
1.11,61.4,1700,6.5,6.47,4.01,0
1.18,59.1,1700,6.66,6.6,1.94,0
1.11,59.1,1700,6.57,6.54,1.88,1
1.9,61.6,1700,6.01,5.97,1.8,1
1.9,59.1,1700,6.1,6.11,1.7,0
1.7,60,1700,5.76,5.8,1.51,1
1.7,60,1700,5.77,5.8,1.51,1
1.7,60.8,1700,5.71,5.76,1.55,1
1.77,60.7,1701,5.85,5.9,1.61,1
1.9,60,1701,6.1,6.14,1.8,0
1.9,61.8,1701,6.07,6.09,1.81,0
1.9,61.8,1701,6.09,6.08,1.85,1
1.9,60.5,1704,6.11,6.1,1.76,1
1.9,61.6,1704,6.1,6.01,1.86,1
1.9,60,1704,6.1,6.14,1.77,1
1.9,61.1,1704,6.08,6.05,1.84,1
1.9,58,1704,6.4,6.14,1.7,1
1.9,60.5,1704,6.11,6.1,1.81,1
1.9,61,1704,6.06,6.04,1.8,1
1.9,60.4,1704,6.1,6,1.78,1
1.9,60.1,1704,6.15,6.18,1.8,1
1.71,61,1705,5.74,5.76,1.57,1
1.85,61.1,1705,6,6.08,1.76,1
1.7,60.1,1705,5.71,5.84,1.54,1
1.9,61.9,1706,6.06,6.05,1.84,1
1.91,61.7,1707,6.01,6.1,1.91,1
1.77,60.1,1707,5.9,5.94,1.61,1
1.71,60.8,1708,5.75,5.78,1.56,1
1.9,58.7,1709,6.18,6.15,1.7,1
1.9,60.7,1709,6.11,6.16,1.79,1
1.9,61,1709,6.05,6.07,1.88,1
1.9,59.9,1709,6.07,6.11,1.7,1
1,59.5,1709,6.6,6.66,1.95,1
1.91,59,1709,6.16,6.1,1.74,1
1.86,61.8,1709,6.05,6.08,1.8,1
1.9,61.4,1700,6.01,6.09,1.87,1
1.75,60.9,1700,5.81,5.84,1.6,1
1.79,60.9,1700,5.97,5.99,1.64,1
1.7,60.9,1700,5.76,5.78,1.5,1
1.7,60.8,1700,5.8,5.81,1.54,1
1.7,60.5,1700,5.71,5.76,1.51,1
1.7,60.9,1700,5.7,5.74,1.54,1
1.7,60.4,1700,5.75,5.78,1.54,1
1.7,60.5,1700,5.7,5.77,1.51,1
1.7,60.1,1700,5.69,5.75,1.5,1
1.7,60.9,1700,5.76,5.79,1.51,1
1.7,60.9,1700,5.69,5.71,1.51,1
1.7,60.8,1700,5.7,5.71,1.54,1
